taxonID	type	identifier	source	release
7CYVX	col	7CYVX	Catalogue of Life	COL26.7 XR
7CYVX	worms	urn:lsid:marinespecies.org:taxname:558602	Catalogue of Life identifier mapping	COL26.7 XR
7CYVX	avibase	eurbla	Catalogue of Life identifier mapping	COL26.7 XR
7CYVX	taxref	4117	Catalogue of Life identifier mapping	COL26.7 XR
7CYVX	taicol	taicol: 110792	Catalogue of Life identifier mapping	COL26.7 XR
7CYVX	dyntaxa	urn:lsid:dyntaxa.se:Taxon:102998	Catalogue of Life identifier mapping	COL26.7 XR
7CYVX	inat	12716	Catalogue of Life identifier mapping	COL26.7 XR
7CYVX	wikidata	Q25234	Catalogue of Life identifier mapping	COL26.7 XR
647VS	col	647VS	Catalogue of Life	COL26.7 XR
647VS	worms	urn:lsid:marinespecies.org:taxname:558599	Catalogue of Life identifier mapping	COL26.7 XR
647VS	taxref	198744	Catalogue of Life identifier mapping	COL26.7 XR
647VS	taicol	x6X5	Catalogue of Life identifier mapping	COL26.7 XR
647VS	dyntaxa	urn:lsid:dyntaxa.se:Taxon:1001574	Catalogue of Life identifier mapping	COL26.7 XR
647VS	irmng	urn:lsid:irmng.org:taxname:1021838	Catalogue of Life identifier mapping	COL26.7 XR
647VS	wikidata	Q115661	Catalogue of Life identifier mapping	COL26.7 XR
T4K9X	col	T4K9X	Catalogue of Life	COL26.7 XR
T4K9X	worms	urn:lsid:marinespecies.org:taxname:196049	Catalogue of Life identifier mapping	COL26.7 XR
T4K9X	avibase	turdid1	Catalogue of Life identifier mapping	COL26.7 XR
T4K9X	taxref	186139	Catalogue of Life identifier mapping	COL26.7 XR
T4K9X	taicol	x6X3	Catalogue of Life identifier mapping	COL26.7 XR
T4K9X	dyntaxa	urn:lsid:dyntaxa.se:Taxon:2002106	Catalogue of Life identifier mapping	COL26.7 XR
T4K9X	irmng	urn:lsid:irmng.org:taxname:108421	Catalogue of Life identifier mapping	COL26.7 XR
T4K9X	inat	15977	Catalogue of Life identifier mapping	COL26.7 XR
T4K9X	wikidata	Q26050	Catalogue of Life identifier mapping	COL26.7 XR
3RL	col	3RL	Catalogue of Life	COL26.7 XR
V2	col	V2	Catalogue of Life	COL26.7 XR
9CK8W	col	9CK8W	Catalogue of Life	COL26.7 XR
8VVWB	col	8VVWB	Catalogue of Life	COL26.7 XR
8V4V5	col	8V4V5	Catalogue of Life	COL26.7 XR
8V4V3	col	8V4V3	Catalogue of Life	COL26.7 XR
CH2	col	CH2	Catalogue of Life	COL26.7 XR
N	col	N	Catalogue of Life	COL26.7 XR
CS5HF	col	CS5HF	Catalogue of Life	COL26.7 XR
R6J7	col	R6J7	Catalogue of Life	COL26.7 XR
R6J7	worms	urn:lsid:marinespecies.org:taxname:558536	Catalogue of Life identifier mapping	COL26.7 XR
R6J7	avibase	eurgol	Catalogue of Life identifier mapping	COL26.7 XR
R6J7	taxref	4583	Catalogue of Life identifier mapping	COL26.7 XR
R6J7	dyntaxa	urn:lsid:dyntaxa.se:Taxon:103043	Catalogue of Life identifier mapping	COL26.7 XR
R6J7	inat	9398	Catalogue of Life identifier mapping	COL26.7 XR
R6J7	wikidata	Q25418	Catalogue of Life identifier mapping	COL26.7 XR
62KHQ	col	62KHQ	Catalogue of Life	COL26.7 XR
62KHQ	worms	urn:lsid:marinespecies.org:taxname:232061	Catalogue of Life identifier mapping	COL26.7 XR
62KHQ	taxref	190350	Catalogue of Life identifier mapping	COL26.7 XR
62KHQ	dyntaxa	urn:lsid:dyntaxa.se:Taxon:1001602	Catalogue of Life identifier mapping	COL26.7 XR
62KHQ	irmng	urn:lsid:irmng.org:taxname:1031448	Catalogue of Life identifier mapping	COL26.7 XR
62KHQ	inat	9358	Catalogue of Life identifier mapping	COL26.7 XR
62KHQ	wikidata	Q27757	Catalogue of Life identifier mapping	COL26.7 XR
6244D	col	6244D	Catalogue of Life	COL26.7 XR
6244D	worms	urn:lsid:marinespecies.org:taxname:159390	Catalogue of Life identifier mapping	COL26.7 XR
6244D	avibase	fringi1	Catalogue of Life identifier mapping	COL26.7 XR
6244D	taxref	186130	Catalogue of Life identifier mapping	COL26.7 XR
6244D	taicol	x827	Catalogue of Life identifier mapping	COL26.7 XR
6244D	dyntaxa	urn:lsid:dyntaxa.se:Taxon:2002121	Catalogue of Life identifier mapping	COL26.7 XR
6244D	dyntaxa	urn:lsid:dyntaxa.se:TaxonName:59687	Catalogue of Life identifier mapping	COL26.7 XR
6244D	irmng	urn:lsid:irmng.org:taxname:109947	Catalogue of Life identifier mapping	COL26.7 XR
6244D	inat	9079	Catalogue of Life identifier mapping	COL26.7 XR
6244D	wikidata	Q160835	Catalogue of Life identifier mapping	COL26.7 XR
32NH2	col	32NH2	Catalogue of Life	COL26.7 XR
32NH2	avibase	blutit	Catalogue of Life identifier mapping	COL26.7 XR
32NH2	taxref	534742	Catalogue of Life identifier mapping	COL26.7 XR
32NH2	dyntaxa	urn:lsid:dyntaxa.se:Taxon:103025	Catalogue of Life identifier mapping	COL26.7 XR
32NH2	inat	144849	Catalogue of Life identifier mapping	COL26.7 XR
32NH2	wikidata	Q25404	Catalogue of Life identifier mapping	COL26.7 XR
3XN8	col	3XN8	Catalogue of Life	COL26.7 XR
3XN8	taxref	836858	Catalogue of Life identifier mapping	COL26.7 XR
3XN8	dyntaxa	urn:lsid:dyntaxa.se:Taxon:6001990	Catalogue of Life identifier mapping	COL26.7 XR
3XN8	irmng	urn:lsid:irmng.org:taxname:1292947	Catalogue of Life identifier mapping	COL26.7 XR
3XN8	inat	144357	Catalogue of Life identifier mapping	COL26.7 XR
3XN8	wikidata	Q133565	Catalogue of Life identifier mapping	COL26.7 XR
626B2	col	626B2	Catalogue of Life	COL26.7 XR
626B2	worms	urn:lsid:marinespecies.org:taxname:558564	Catalogue of Life identifier mapping	COL26.7 XR
626B2	avibase	parida1	Catalogue of Life identifier mapping	COL26.7 XR
626B2	taxref	186141	Catalogue of Life identifier mapping	COL26.7 XR
626B2	taicol	xDR2	Catalogue of Life identifier mapping	COL26.7 XR
626B2	dyntaxa	urn:lsid:dyntaxa.se:Taxon:2002112	Catalogue of Life identifier mapping	COL26.7 XR
626B2	irmng	urn:lsid:irmng.org:taxname:104694	Catalogue of Life identifier mapping	COL26.7 XR
626B2	inat	13547	Catalogue of Life identifier mapping	COL26.7 XR
626B2	wikidata	Q168473	Catalogue of Life identifier mapping	COL26.7 XR
4TZJZ	col	4TZJZ	Catalogue of Life	COL26.7 XR
