ID	sourceID	parentID	scientificName	authorship	rank	status	code	extinct	environment	kingdom	alternativeID	colTrustTier
32NH2	col-sector-1507	3XN8	Cyanistes caeruleus	(Linnaeus, 1758)	species	accepted	zoological	false		Animalia	avibase:blutit,taxref:534742,dyntaxa:urn:lsid:dyntaxa.se:Taxon:103025,inat:144849,wikidata:Q25404	base
383	col-sector-66227	MG	Fabales	Bromhead	order	accepted	botanical			Plantae		base
384	col-sector-66228	MG	Fagales	Engl.	order	accepted	botanical			Plantae		base
38FSW	col-sector-1290	845Y3	Echinaster (Echinaster) sepositus	(Retzius, 1783)	species	accepted	zoological	false		Animalia	worms:urn:lsid:marinespecies.org:taxname:125161,tsn:157183,taxref:386293	base
3BGTD	col-sector-39707	CS33N	Escherichia coli	(Migula, 1895) Castellani & Chalmers, 1919	species	synonym	botanical			Pseudomonadati	inat:450837	xr-supplement
3RL	col-sector-1507	V2	Passeriformes		order	accepted	zoological	false		Animalia		base
3W7	col-sector-1508	LG	Primates	Linnaeus, 1758	order	accepted	zoological	false		Animalia		base
3WDNW	col-sector-1290	7PCMQ	Luidia ciliaris	(Philippi, 1837)	species	accepted	zoological	false		Animalia	worms:urn:lsid:marinespecies.org:taxname:123920,tsn:156872,taxref:379371,dyntaxa:urn:lsid:dyntaxa.se:Taxon:217680,inat:363970,wikidata:Q2014285	base
3XN8	col-sector-1507	626B2	Cyanistes	Kaup, 1829	genus	accepted	zoological	false		Animalia	taxref:836858,dyntaxa:urn:lsid:dyntaxa.se:Taxon:6001990,irmng:urn:lsid:irmng.org:taxname:1292947,inat:144357,wikidata:Q133565	base
3YWY2	col-sector-1508	62ZBS	Megaptera novaeangliae	(Borowski, 1781)	species	accepted	zoological	false		Animalia	worms:urn:lsid:marinespecies.org:taxname:137092,taxref:60867,taicol:taicol: 78498,dyntaxa:urn:lsid:dyntaxa.se:Taxon:233172,inat:41566,wikidata:Q132905	base
3ZX	col-sector-66254	MG	Santalales	R.Br. ex Bercht. & J.Presl	order	accepted	botanical			Plantae		base
4CGXP	col-sector-1508	6DBT	Panthera leo	(Linnaeus, 1758)	species	accepted	zoological	false		Animalia	taxref:644245,inat:41964	base
4DL	col-sector-1508	VS	Feliformia	Kretzoi, 1945	suborder	accepted	zoological	false		Animalia		base
4DT	col-sector-1508	3W7	Haplorrhini	Pocock, 1918	suborder	accepted	zoological	false		Animalia		base
4PM	col-sector-1508	4DT	Simiiformes	Haeckel, 1866	infraorder	accepted	zoological	false		Animalia		base
4R5YN	col-sector-66228	8W2YL	Quercus robur	L.	species	accepted	botanical			Plantae	wfo:wfo-0000292858,vascan:5969,dyntaxa:urn:lsid:dyntaxa.se:Taxon:221406,grin:30739,tpl:kew-174750	base
4RKVF	col-sector-1507	7773	Raphus cucullatus	(Linnaeus, 1758)	species	accepted	zoological	true		Animalia	avibase:dodo1,inat:2713,wikidata:Q43502	base
4TZJZ	col-sector-1508	7BQ9	Saimiri oerstedii	(Reinhardt, 1872)	species	accepted	zoological	false		Animalia	inat:43425	base
4Y5CH	col-sector-60427	KVLM5	Solea solea	(Linnaeus, 1758)	species	accepted	zoological			Animalia	worms:urn:lsid:marinespecies.org:taxname:127160,tsn:173002,taxref:70648,inat:55396,wikidata:Q27773	base
5K5L8	col-sector-1508	4CGXP	Panthera leo leo	(Linnaeus, 1758)	subspecies	accepted	zoological	true		Animalia	inat:557485	base
5K5LD	col-sector-1508	5K5L8	Panthera leo persica	(Meyer, 1826)	subspecies	synonym	zoological			Animalia		base
5TYZ9	col-sector-663	T7Z	Amanita muscaria	(L.) Lam.	species	accepted	botanical	false		Fungi	worms:urn:lsid:marinespecies.org:taxname:1456971,dyntaxa:urn:lsid:dyntaxa.se:Taxon:236537,wikidata:Q131227	base
6224G	col-sector-1508	9CK8W	Mammalia	Linnaeus, 1758	class	accepted	zoological	false		Animalia		base
6226C	col-sector-1508	6224G	Theria	Parker & Haswell, 1897	subclass	accepted	zoological	false		Animalia		base
622V4	col-sector-60427	8V4VD	Pleuronectiformes		order	accepted	zoological			Animalia		base
62396	col-sector-1508	WP	Mysticeti	Flower, 1864	suborder	accepted	zoological	false		Animalia		base
623QT	col-sector-66262	383	Fabaceae	Lindl.	family	accepted	botanical			Plantae	wfo:wfo-7000000323,vascan:132,taicol:xHXX,dyntaxa:urn:lsid:dyntaxa.se:Taxon:2002765,grin:fam:440,inat:47122	base
623RM	col-sector-1508	4DL	Felidae	Fischer de Waldheim, 1817	family	accepted	zoological	false		Animalia	worms:urn:lsid:marinespecies.org:taxname:1460004,taxref:186221,taicol:xFKC,dyntaxa:urn:lsid:dyntaxa.se:Taxon:2002152,irmng:urn:lsid:irmng.org:taxname:104889,inat:41944	base
6244D	col-sector-1507	3RL	Fringillidae	Leach, 1820	family	accepted	zoological	false		Animalia	worms:urn:lsid:marinespecies.org:taxname:159390,avibase:fringi1,taxref:186130,taicol:x827,dyntaxa:urn:lsid:dyntaxa.se:Taxon:2002121,dyntaxa:urn:lsid:dyntaxa.se:TaxonName:59687,irmng:urn:lsid:irmng.org:taxname:109947,inat:9079,wikidata:Q160835	base
626B2	col-sector-1507	3RL	Paridae	Vigors, 1825	family	accepted	zoological	false		Animalia	worms:urn:lsid:marinespecies.org:taxname:558564,avibase:parida1,taxref:186141,taicol:xDR2,dyntaxa:urn:lsid:dyntaxa.se:Taxon:2002112,irmng:urn:lsid:irmng.org:taxname:104694,inat:13547,wikidata:Q168473	base
